Benchmark,Replacement Type,Cache config,IPC value,Missrate
li,LRU,dl2_512_64_4,1.4173,0.0143
li,LRU,dl2_512_64_8,1.5076,0.0046
li,LRU,dl2_64_64_16,0.7678,0.1395
li,LRU,dl2_64_64_32,1.4640,0.0091
li,LRU,dl2_64_64_4,0.5245,0.4870
li,LRU,dl2_64_64_8,0.5980,0.2760
li,PLRU,dl2_1024_64_16_p_9_12,1.4982,0.0057
li,PLRU,dl2_1024_64_32_p_17_24,1.4982,0.0057
li,PLRU,dl2_1024_64_4_p_3_3,1.4982,0.0057
li,PLRU,dl2_1024_64_8_p_5_6,1.4982,0.0057
li,PLRU,dl2_128_64_16_p_9_12,0.9097,0.1153
li,PLRU,dl2_128_64_32_p_17_24,1.0718,0.0704
li,PLRU,dl2_128_64_4_p_3_3,0.4073,0.4667
li,PLRU,dl2_128_64_8_p_5_6,0.5673,0.2825
li,PLRU,dl2_256_64_16_p_9_12,1.0937,0.0665
li,PLRU,dl2_256_64_32_p_17_24,1.0937,0.0665
li,PLRU,dl2_256_64_4_p_3_3,0.5663,0.2833
li,PLRU,dl2_256_64_8_p_5_6,0.9206,0.1121
li,PLRU,dl2_32_64_16_p_9_12,0.3304,0.5362
li,PLRU,dl2_32_64_32_p_17_24,0.6036,0.2380
li,PLRU,dl2_32_64_4_p_3_3,0.2385,0.7670
li,PLRU,dl2_32_64_8_p_5_6,0.2664,0.6710
li,PLRU,dl2_512_64_16_p_9_12,1.1011,0.0647
li,PLRU,dl2_512_64_32_p_17_24,1.1011,0.0647
li,PLRU,dl2_512_64_4_p_3_3,0.9461,0.1016
li,PLRU,dl2_512_64_8_p_5_6,1.1011,0.0647
li,PLRU,dl2_64_64_16_p_9_12,0.5153,0.3098
li,PLRU,dl2_64_64_32_p_17_24,1.0159,0.0806
li,PLRU,dl2_64_64_4_p_3_3,0.2620,0.6961
li,PLRU,dl2_64_64_8_p_5_6,0.3262,0.5392
li,SCORE,dl2_1024_64_16,1.4990,0.0057
li,SCORE,dl2_1024_64_32,1.5012,0.0054
li,SCORE,dl2_1024_64_4,1.5000,0.0055
li,SCORE,dl2_1024_64_8,1.4985,0.0057
li,SCORE,dl2_128_64_16,1.3293,0.0258
li,SCORE,dl2_128_64_32,1.3885,0.0183
li,SCORE,dl2_128_64_4,0.4683,0.3683
li,SCORE,dl2_128_64_8,0.6409,0.2225
li,SCORE,dl2_256_64_16,1.4658,0.0097
li,SCORE,dl2_256_64_32,1.4673,0.0095
li,SCORE,dl2_256_64_4,0.6737,0.2021
li,SCORE,dl2_256_64_8,1.3050,0.0293
li,SCORE,dl2_32_64_16,0.3932,0.4213
li,SCORE,dl2_32_64_32,0.5112,0.3032
li,SCORE,dl2_32_64_4,0.2605,0.6644
li,SCORE,dl2_32_64_8,0.3022,0.5641
li,SCORE,dl2_512_64_16,1.4753,0.0082
li,SCORE,dl2_512_64_32,1.4790,0.0078
li,SCORE,dl2_512_64_4,1.2606,0.0342
li,SCORE,dl2_512_64_8,1.4899,0.0068
li,SCORE,dl2_64_64_16,0.6085,0.2321
li,SCORE,dl2_64_64_32,0.9114,0.1062
li,SCORE,dl2_64_64_4,0.2920,0.5832
li,SCORE,dl2_64_64_8,0.3799,0.4337
perl,LRU,dl2_1024_64_16,1.2557,0.0002
perl,LRU,dl2_1024_64_32,1.2557,0.0002
perl,LRU,dl2_1024_64_4,1.2557,0.0002
perl,LRU,dl2_1024_64_8,1.2557,0.0002
perl,LRU,dl2_128_64_16,1.2557,0.0002
perl,LRU,dl2_128_64_32,1.2557,0.0002
perl,LRU,dl2_128_64_4,1.2557,0.0002
perl,LRU,dl2_128_64_8,1.2557,0.0002
perl,LRU,dl2_256_64_16,1.2557,0.0002
perl,LRU,dl2_256_64_32,1.2557,0.0002
perl,LRU,dl2_256_64_4,1.2557,0.0002
perl,LRU,dl2_256_64_8,1.2557,0.0002
perl,LRU,dl2_32_64_16,1.2557,0.0002
perl,LRU,dl2_32_64_32,1.2557,0.0002
perl,LRU,dl2_32_64_4,0.7254,0.0771
perl,LRU,dl2_32_64_8,1.2556,0.0002
perl,LRU,dl2_512_64_16,1.2557,0.0002
perl,LRU,dl2_512_64_32,1.2557,0.0002
perl,LRU,dl2_512_64_4,1.2557,0.0002
perl,LRU,dl2_512_64_8,1.2557,0.0002
perl,LRU,dl2_64_64_16,1.2557,0.0002
perl,LRU,dl2_64_64_32,1.2557,0.0002
perl,LRU,dl2_64_64_4,0.7254,0.0771
perl,LRU,dl2_64_64_8,1.2557,0.0002
perl,PLRU,dl2_1024_64_16_p_9_12,1.2556,0.0002
perl,PLRU,dl2_1024_64_32_p_17_24,1.2556,0.0002
perl,PLRU,dl2_1024_64_4_p_3_3,1.2556,0.0002
perl,PLRU,dl2_1024_64_8_p_5_6,1.2556,0.0002
perl,PLRU,dl2_128_64_16_p_9_12,1.2556,0.0002
perl,PLRU,dl2_128_64_32_p_17_24,1.2556,0.0002
perl,PLRU,dl2_128_64_4_p_3_3,1.2556,0.0002
